#{"t_start": 1605487278.9837074, "env_id": "PnPBaxter-v0"}
r,l,t
36.379091,60,2807.805979
36.762342,61,2815.959536
50.229248,82,2824.509424
26.038826,43,2832.680921
43.122551,70,2841.115877
14.912437,25,2848.659328
21.566296,36,2855.889477
51.467496,82,2863.746754
0.584239,1,2881.514377
43.817715,72,2888.684032
34.051032,57,2897.052838
46.389978,75,2905.63861
35.45769,58,2913.89659
42.054607,68,2922.262096
49.580355,80,2930.867977
0.53534,1,2948.797928
17.004644,28,2964.754404
61.9121,105,2973.547528
55.372833,88,2982.678504
13.676786,22,2990.492575
25.3813,43,2997.848022
65.310331,107,3006.837815
15.907995,26,3014.99809
24.071263,39,3022.087082
22.76118,38,3029.644993
28.597176,46,3037.284432
21.893256,37,3044.777039
19.736749,32,3052.330678
12.290375,20,3059.317559
24.631362,41,3066.357312
22.563915,38,3073.730006
85.227975,141,3083.10186
30.591152,51,3091.974501
22.581222,36,3099.799599
10.956763,18,3106.767684
16.017695,26,3113.32518
12.86604,21,3119.69889
15.235346,25,3126.627802
48.330728,79,3134.768748
21.594084,36,3142.613801
40.769862,68,3150.503739
15.311772,25,3158.254847
44.748967,76,3166.046542
66.511129,106,3175.658125
39.063952,63,3184.336063
8.97353,15,3191.476907
26.704168,43,3198.740597
52.837176,86,3207.029571
28.07031,47,3215.470193
9.170417,15,3222.409845
34.352268,58,3229.855701
17.871795,29,3237.767676
22.21201,36,3244.980296
53.912746,91,3252.962539
32.479397,55,3261.137242
50.585211,82,3269.615936
37.28219,63,3278.449282
17.908348,29,3286.217007
39.244569,65,3293.892813
46.385978,77,3302.247267
11.324928,18,3309.715685
33.350905,56,3317.141262
23.707251,39,3324.892478
62.883282,106,3334.086876
17.927644,29,3341.897035
29.930908,48,3349.540775
41.955401,71,3357.631097
8.514971,14,3365.12897
11.487629,19,3371.119342
20.255837,33,3377.74562
55.004906,88,3385.94405
0.542762,1,3403.874292
0.549614,1,3421.193195
0.550793,1,3438.481566
0.581976,1,3455.777948
8.70613,14,3461.838278
13.48445,22,3468.227138
8.05473,13,3474.575587
66.367667,110,3482.351147
19.889177,32,3490.295063
30.763552,50,3497.262832
6.902154,11,3503.815081
19.499226,33,3510.167054
9.166707,15,3516.943486
34.46041,56,3524.222071
44.305137,73,3532.332326
70.772916,113,3541.776076
14.143769,23,3549.708977
16.514926,27,3556.543745
6.959011,11,3563.327398
39.845541,66,3570.512046
7.31586,12,3577.686162
7.463845,12,3583.715067
8.813473,14,3589.670411
25.124684,41,3595.892959
